"venue_id","name","city","province_state","country","capacity","home_team_id"
"0","Unknown","Unknown","Unknown","Unknown","0","-1"
"1","Mattamy Athletic Centre","Toronto","Ontario","Canada","3850","6"
"2","TD Place","Ottawa","Ontario","Canada","9500","5"
"3","Tsongas Center","Lowell","Massachusetts","USA","6496","1"
"4","Total Mortgage Arena","Bridgeport","Connecticut","USA","10000","4"
"5","Xcel Energy Center","Saint Paul","Minnesota","USA","20554","2"
"6","UBS Arena","Elmont","New York","USA","17255","4"
"7","Verdun Auditorium","Montreal","Quebec","Canada","4114","3"
"8","Place Bell","Laval","Quebec","Canada","10062","3"
"9","Scotiabank Arena","Toronto","Ontario","Canada","19800","6"
"10","3M Arena at Mariucci","Minnesota","Minnesota","USA","10000","2"
"11","Little Caesars Arena","Detroit","Michigan","USA","19515","-1"
"12","PPG Paints Arena","Pittsburgh","Pennsylvania","USA","19758","-1"
"13","Bell Centre","Montreal","Quebec","Canada","21000","3"
"14","Prudential Center","Newark","New Jersey","USA","16755","4"
"15","Coca-Cola Coliseum","Toronto","Ontario","Canada","7779","6"
"16","Utica University Nexus Center - Mastrovito Hyundai","Utica","New York","USA","1200","-1"
"17","Ford Performance Centre","Toronto","Ontario","Canada","0","-1"
"18","Rogers Arena","Vancouver","British Columbia","Canada","18910","-1"
"19","Ball Arena","Denver","Colorado","USA","18000","-1"
"20","Videotron Centre","Quebec City","Quebec","Canada","18259","-1"
"21","Rogers Place","Edmonton","Alberta","Canada","18347","-1"
"22","KeyBank Center","Buffalo","New York","USA","19070","-1"
"23","Climate Pledge Arena","Seattle","Washington","USA","17151","-1"
"24","Lenovo Center","Raleigh","North Carolina","USA","18700","-1"
"25","Agganis Arena","Boston","Massachusetts","USA","7200","1"
"26","Enterprise Center","St. Louis","Missouri","USA","18096","-1"
