"id","start_date","end_date","team_id","jersey_number","position"
"1","2025-11-01","2026-06-01","1","20","F"
"2","2025-11-01","2026-06-01","8","11","D"
"4","2025-11-01","2026-06-01","3","27","F"
"5","2025-11-01","2026-06-01","3","22","D"
"6","2025-11-01","2026-06-01","1","31","G"
"8","2025-11-01","2026-06-01","1","36","F"
"9","2025-11-01","2026-06-01","4","17","F"
"11","2025-11-01","2026-06-01","9","16","D"
"12","2025-11-01","2026-06-01","1","5","D"
"13","2025-11-01","2026-06-01","8","21","F"
"15","2025-11-01","2026-06-01","1","11","F"
"16","2025-11-01","2026-06-01","1","47","F"
"17","2026-03-17","2026-06-01","8","37","F"
"18","2025-11-01","2026-06-01","1","9","F"
"20","2025-11-01","2026-06-01","2","26","F"
"21","2025-11-01","2026-06-01","2","27","F"
"22","2025-11-01","2026-06-01","2","29","G"
"23","2025-11-01","2026-06-01","2","12","F"
"24","2025-11-01","2026-06-01","2","2","D"
"25","2025-11-01","2026-06-01","2","13","F"
"26","2025-11-01","2026-06-01","6","42","F"
"28","2025-11-01","2026-06-01","3","35","G"
"30","2025-11-01","2026-06-01","4","43","F"
"31","2025-11-01","2026-06-01","3","29","F"
"32","2025-11-01","2026-06-01","3","7","F"
"34","2025-11-01","2026-06-01","8","25","F"
"35","2025-11-01","2026-06-01","3","77","F"
"36","2026-03-17","2026-06-01","1","18","F"
"37","2025-11-01","2026-06-01","2","18","F"
"38","2025-11-01","2026-06-01","5","11","D"
"39","2025-11-01","2026-06-01","3","13","F"
"40","2025-11-01","2026-06-01","4","19","F"
"41","2025-11-01","2026-06-01","1","39","G"
"42","2025-11-01","2026-06-01","3","11","F"
"44","2025-11-01","2026-06-01","6","17","D"
"45","2025-11-01","2026-06-01","4","81","F"
"46","2025-11-01","2026-06-01","1","73","D"
"47","2025-11-01","2026-06-01","4","28","D"
"48","2025-11-01","2026-06-01","3","30","G"
"49","2025-11-01","2026-06-01","8","78","F"
"50","2025-11-01","2026-06-01","9","21","D"
"51","2025-11-01","2026-06-01","3","44","D"
"52","2025-11-01","2026-06-01","1","3","D"
"53","2025-11-01","2026-06-01","5","26","F"
"54","2025-11-01","2026-06-01","6","21","F"
"56","2025-11-01","2026-06-01","6","15","D"
"57","2025-11-01","2026-06-01","5","17","F"
"58","2025-11-01","2026-06-01","5","19","F"
"59","2025-11-01","2026-06-01","9","38","G"
"60","2026-03-30","2026-06-01","2","33","D"
"61","2025-11-01","2026-06-01","3","16","F"
"62","2025-11-01","2026-06-01","8","2","D"
"63","2025-11-01","2026-06-01","6","9","F"
"64","2025-11-01","2026-06-01","9","50","G"
"65","2025-11-01","2026-06-01","6","18","F"
"66","2025-11-01","2026-06-01","6","22","F"
"67","2025-11-01","2026-06-01","6","14","D"
"68","2025-11-01","2026-06-01","6","6","D"
"71","2025-11-01","2026-06-01","5","3","D"
"72","2025-11-01","2026-06-01","5","37","F"
"73","2025-11-01","2026-06-01","6","27","F"
"74","2025-11-01","2026-06-01","6","12","D"
"75","2025-11-01","2026-06-01","9","20","F"
"76","2025-11-01","2026-06-01","6","40","F"
"78","2025-11-01","2026-06-01","1","77","F"
"79","2025-11-01","2026-06-01","3","91","D"
"81","2025-11-01","2026-06-01","4","62","F"
"83","2025-11-01","2026-06-01","3","23","D"
"84","2025-11-01","2026-06-01","3","9","D"
"85","2025-11-01","2026-06-01","6","29","G"
"86","2025-11-01","2026-06-01","6","67","F"
"87","2025-11-01","2026-06-01","4","14","D"
"88","2025-11-01","2026-06-01","5","16","F"
"89","2025-11-01","2026-06-01","9","34","F"
"90","2025-11-01","2026-06-01","2","22","D"
"91","2025-11-01","2026-06-01","8","17","F"
"97","2025-11-01","2026-06-01","1","13","F"
"98","2025-11-01","2026-06-01","3","21","F"
"99","2025-11-01","2026-06-01","8","20","D"
"100","2025-11-01","2026-06-01","6","24","F"
"101","2025-11-01","2026-06-01","5","10","F"
"102","2025-11-01","2026-06-01","2","7","F"
"104","2026-03-30","2026-06-01","4","44","F"
"108","2025-11-01","2026-06-01","3","5","F"
"114","2025-11-01","2026-06-01","9","22","F"
"115","2026-01-18","2026-06-01","5","86","F"
"116","2025-11-01","2026-06-01","4","41","F"
"118","2026-01-18","2026-06-01","5","25","D"
"123","2025-11-01","2026-06-01","2","35","G"
"126","2025-11-01","2026-06-01","2","8","F"
"128","2025-11-01","2026-06-01","3","19","F"
"129","2025-11-01","2026-06-01","9","23","D"
"131","2025-11-01","2026-06-01","4","9","D"
"132","2025-11-01","2026-06-01","6","2","D"
"134","2025-11-01","2026-06-01","8","70","G"
"138","2025-11-01","2026-06-01","8","13","F"
"140","2025-11-01","2026-06-01","9","18","F"
"142","2025-11-01","2026-06-01","8","8","F"
"147","2025-11-01","2026-06-01","4","7","F"
"149","2025-11-01","2026-06-01","1","44","F"
"155","2025-11-01","2026-06-01","8","30","G"
"156","2025-11-01","2026-06-01","8","28","F"
"157","2025-11-01","2026-06-01","3","28","F"
"161","2025-11-01","2026-06-01","9","13","F"
"162","2025-11-01","2026-06-01","2","9","D"
"166","2025-11-01","2026-06-01","2","1","G"
"167","2025-11-01","2026-06-01","2","5","D"
"169","2025-11-01","2026-06-01","9","42","D"
"180","2025-11-01","2026-06-01","9","11","D"
"181","2025-11-01","2026-06-01","8","19","F"
"182","2025-11-01","2026-06-01","1","6","D"
"183","2025-11-01","2026-06-01","1","27","F"
"185","2025-11-01","2026-06-01","1","55","D"
"188","2025-11-01","2026-06-01","2","21","D"
"189","2025-11-01","2026-06-01","2","77","F"
"190","2025-11-01","2026-06-01","2","71","F"
"191","2025-11-01","2026-06-01","2","6","F"
"192","2026-01-18","2026-06-01","5","27","F"
"194","2025-11-01","2026-06-01","2","16","F"
"195","2025-11-01","2026-06-01","2","14","F"
"196","2025-11-01","2026-06-01","8","3","D"
"198","2025-11-01","2026-06-01","9","12","F"
"199","2025-11-01","2026-06-01","3","17","F"
"200","2025-11-01","2026-06-01","6","71","D"
"201","2025-11-01","2026-06-01","3","25","F"
"202","2025-11-01","2026-06-01","3","51","D"
"203","2025-11-01","2026-06-01","8","5","D"
"204","2025-11-01","2026-06-01","4","29","F"
"205","2025-11-01","2026-06-01","4","10","F"
"206","2025-11-01","2026-06-01","4","4","F"
"207","2025-11-01","2026-06-01","4","16","D"
"208","2025-11-01","2026-06-01","8","27","D"
"209","2025-11-01","2026-06-01","9","8","F"
"210","2025-11-01","2026-06-01","8","88","F"
"211","2025-11-01","2026-06-01","6","1","G"
"212","2025-11-01","2026-06-01","1","25","F"
"213","2025-11-01","2026-06-01","6","13","F"
"214","2025-11-01","2026-06-01","1","61","F"
"217","2025-11-01","2026-06-01","5","22","F"
"219","2025-11-01","2026-06-01","5","6","D"
"220","2026-01-18","2026-06-01","9","19","F"
"221","2026-01-18","2026-06-01","9","94","F"
"222","2025-11-01","2026-06-01","5","33","G"
"223","2025-11-01","2026-06-01","5","88","D"
"224","2025-11-01","2026-06-01","8","92","F"
"227","2025-11-01","2026-06-01","9","15","F"
"228","2025-11-01","2026-06-01","4","82","G"
"229","2025-11-01","2026-06-01","4","8","D"
"230","2025-11-01","2026-06-01","4","20","D"
"232","2025-11-01","2026-06-01","1","53","D"
"233","2025-11-01","2026-06-01","5","42","D"
"236","2025-11-01","2026-06-01","2","4","D"
"237","2025-11-01","2026-06-01","8","10","F"
