"draft_id","pick_number","player_id","pick_owner","pick_user"
"1","1","21","2","2"
"1","2","71","6","6"
"1","3","15","1","1"
"1","4","44","4","4"
"1","5","56","5","5"
"1","6","83","3","3"
"1","7","30","3","3"
"1","8","50","5","5"
"1","9","87","4","4"
"1","10","11","1","1"
"1","11","73","6","6"
"1","12","22","2","2"
"1","13","25","2","2"
"1","14","64","6","6"
"1","15","16","1","1"
"1","16","36","4","4"
"1","17","60","5","5"
"1","18","98","3","3"
"1","19","82","3","3"
"1","20","57","5","5"
"1","21","33","4","4"
"1","22","8","1","1"
"1","23","100","6","6"
"1","24","79","2","2"
"1","25","78","2","2"
"1","26","65","6","6"
"1","27","1","1","1"
"1","28","37","4","4"
"1","29","61","5","5"
"1","30","84","3","3"
"1","31","29","3","3"
"1","32","63","5","5"
"1","33","155","4","4"
"1","34","5","1","1"
"1","35","68","6","6"
"1","36","116","2","2"
"1","37","90","2","2"
"1","38","125","6","6"
"1","39","17","1","1"
"1","40","149","4","4"
"1","41","62","5","5"
"1","42","161","3","3"
"1","43","162","3","3"
"1","44","88","5","5"
"1","45","38","4","4"
"1","46","2","1","1"
"1","47","69","6","6"
"1","48","104","2","2"
"1","49","167","2","2"
"1","50","74","6","6"
"1","51","9","1","1"
"1","52","35","4","4"
"1","53","52","5","5"
"1","54","156","3","3"
"1","55","165","3","3"
"1","56","54","5","5"
"1","57","40","4","4"
"1","58","19","1","1"
"1","59","129","6","6"
"1","60","103","2","2"
"1","61","122","2","2"
"1","62","66","6","6"
"1","63","18","1","1"
"1","64","41","4","4"
"1","65","49","5","5"
"1","66","27","3","3"
"1","67","26","3","3"
"1","68","48","5","5"
"1","69","46","4","4"
"1","70","4","1","1"
"1","71","72","6","6"
"1","72","115","2","2"
"1","73","97","2","2"
"1","74","89","6","6"
"1","75","3","1","1"
"1","76","45","4","4"
"1","77","51","5","5"
"1","78","85","3","3"
"1","79","80","3","3"
"1","80","176","5","5"
"1","81","86","4","4"
"1","82","-1","1","1"
"1","83","101","6","6"
"1","84","-2","2","2"
"1","85","92","2","2"
"1","86","131","6","6"
"1","87","10","1","1"
"1","88","39","4","4"
"1","89","225","5","5"
"1","90","201","3","3"
"2","1","205","4","4"
"2","2","224","5","5"
"2","3","169","2","2"
"2","4","181","1","1"
"2","5","196","3","3"
"2","6","210","6","6"
"2","7","185","4","1"
"2","8","223","5","5"
"2","9","189","2","2"
"2","10","229","1","5"
"2","11","198","3","3"
"2","12","208","6","6"
"2","13","231","4","4"
"2","14","222","5","5"
"2","15","190","2","2"
"2","16","230","1","4"
"2","17","114","3","3"
"2","18","209","6","6"
"2","19","227","4","4"
"2","20","219","5","5"
"2","21","192","2","2"
"2","22","180","1","1"
"2","23","199","3","3"
"2","24","207","6","6"
"2","25","206","4","4"
"2","26","220","5","5"
"2","27","195","2","2"
"2","28","228","1","5"
"2","29","203","3","3"
"2","30","214","6","6"
"2","31","204","4","4"
"2","32","221","5","5"
"2","33","188","2","2"
"2","34","183","1","1"
"2","35","200","3","3"
"2","36","213","6","6"
"2","37","184","4","1"
"2","38","226","5","5"
"2","39","191","2","2"
"2","40","182","1","1"
"2","41","-3","3","3"
"2","42","211","6","6"
"3","1","245","4","4"
"3","2","246","1","1"
"3","3","280","6","4"
"3","4","253","3","3"
"3","5","242","5","5"
"3","6","236","2","2"
"3","7","252","9","9"
"3","8","237","8","8"
"3","9","249","4","4"
"3","10","243","1","1"
"3","11","244","6","6"
"3","12","274","3","3"
"3","13","239","5","5"
"3","14","247","2","2"
"3","15","250","8","8"
"3","16","317","9","6"
"3","17","-4","4","4"
"3","18","256","1","1"
"3","19","305","6","9"
"3","20","272","3","3"
"3","21","241","5","5"
"3","22","248","2","2"
"3","23","316","9","6"
"3","24","291","8","8"
"3","25","251","4","4"
"3","26","255","1","1"
"3","27","285","6","4"
"3","28","282","3","4"
"3","29","286","5","5"
"3","30","267","2","2"
"3","31","292","8","8"
"3","32","300","9","9"
"3","33","277","4","4"
"3","34","259","1","1"
"3","35","313","6","6"
"3","36","273","3","3"
"3","37","238","5","5"
"3","38","269","2","2"
"3","39","310","9","9"
"3","40","294","8","8"
"3","41","278","4","4"
"3","42","262","1","1"
"3","43","311","6","6"
"3","44","271","3","3"
"3","45","240","5","5"
"3","46","264","2","2"
"3","47","296","8","8"
"3","48","299","9","9"
