"id","start_date","end_date","team_id","jersey_number","position"
"1","2023-11-01","2024-06-01","1","20","F"
"1","2024-11-01","2025-06-01","1","20","F"
"2","2023-11-01","2024-06-01","1","2","D"
"2","2024-11-01","2025-06-01","1","2","D"
"3","2023-11-01","2024-06-01","5","24","D"
"4","2023-11-01","2024-06-01","1","27","F"
"4","2024-11-01","2025-06-01","5","27","F"
"5","2023-11-01","2024-06-01","1","22","D"
"5","2024-11-01","2025-06-01","1","22","D"
"6","2023-11-01","2024-06-01","1","31","G"
"6","2024-11-01","2025-06-01","1","31","G"
"7","2023-11-01","2024-06-01","1","13","D"
"8","2023-11-01","2024-06-01","1","36","F"
"8","2024-11-01","2025-06-01","1","36","F"
"9","2023-11-01","2024-06-01","1","17","F"
"9","2024-11-01","2025-06-01","1","17","F"
"10","2023-11-01","2024-06-01","1","97","D"
"11","2023-11-01","2024-06-01","2","16","D"
"11","2024-11-01","2025-06-01","2","16","D"
"12","2023-11-01","2024-06-01","1","5","D"
"12","2024-11-01","2025-06-01","1","5","D"
"13","2023-11-01","2024-06-01","1","21","F"
"13","2024-11-01","2025-06-01","1","21","F"
"14","2023-11-01","2024-06-01","1","77","F"
"15","2023-11-01","2024-06-01","1","11","F"
"15","2024-11-01","2025-06-01","1","11","F"
"16","2023-11-01","2024-06-01","1","47","F"
"16","2024-11-01","2025-06-01","1","47","F"
"17","2023-11-01","2024-06-01","1","37","F"
"17","2024-11-01","2025-06-01","1","37","F"
"17","2025-11-01","2026-03-16","1","17","F"
"18","2023-11-01","2024-06-01","1","9","F"
"18","2024-11-01","2025-06-01","1","9","F"
"19","2023-11-01","2024-06-01","1","30","G"
"19","2024-11-01","2025-06-01","1","30","G"
"20","2023-11-01","2024-06-01","2","26","F"
"20","2024-11-01","2025-06-01","2","26","F"
"21","2023-11-01","2024-06-01","2","27","F"
"21","2024-11-01","2025-06-01","2","27","F"
"22","2023-11-01","2024-06-01","2","29","G"
"22","2024-11-01","2025-06-01","2","29","G"
"23","2023-11-01","2024-06-01","2","12","F"
"23","2024-11-01","2025-06-01","2","12","F"
"24","2023-11-01","2024-06-01","2","2","D"
"24","2024-11-01","2025-06-01","2","2","D"
"25","2023-11-01","2024-06-01","2","13","F"
"25","2024-11-01","2025-06-01","2","13","F"
"26","2023-11-01","2024-06-01","3","42","F"
"26","2024-11-01","2025-06-01","3","42","F"
"27","2023-11-01","2024-06-01","3","14","F"
"27","2024-11-01","2025-06-01","1","14","F"
"28","2023-11-01","2024-06-01","3","35","G"
"28","2024-11-01","2025-06-01","3","35","G"
"29","2023-11-01","2024-06-01","3","22","F"
"29","2024-11-01","2025-06-01","3","22","F"
"30","2023-11-01","2024-06-01","3","43","F"
"30","2024-11-01","2025-06-01","3","43","F"
"31","2023-11-01","2024-06-01","3","29","F"
"31","2024-11-01","2025-06-01","3","29","F"
"32","2023-11-01","2024-06-01","3","7","F"
"32","2024-11-01","2025-06-01","3","7","F"
"33","2023-11-01","2024-06-01","4","12","F"
"33","2024-11-01","2025-06-01","4","12","F"
"34","2023-11-01","2024-06-01","4","25","F"
"34","2024-11-01","2025-06-01","4","25","F"
"35","2023-11-01","2024-06-01","4","27","F"
"35","2024-11-01","2025-06-01","4","27","F"
"36","2023-11-01","2024-06-01","4","9","F"
"36","2024-11-01","2025-06-01","4","9","F"
"36","2026-11-01","2026-03-16","5","9","F"
"37","2023-11-01","2024-06-01","4","18","F"
"37","2024-11-01","2025-06-01","4","18","F"
"38","2023-11-01","2024-06-01","4","6","D"
"38","2024-11-01","2025-06-01","4","6","D"
"39","2023-11-01","2024-06-01","4","13","F"
"39","2024-11-01","2025-06-01","3","13","F"
"40","2023-11-01","2024-06-01","4","19","F"
"40","2024-11-01","2025-06-01","4","19","F"
"41","2023-11-01","2024-06-01","4","39","G"
"41","2024-11-01","2025-06-01","4","39","G"
"42","2023-11-01","2024-06-01","4","11","F"
"42","2024-11-01","2025-06-01","4","11","F"
"44","2023-11-01","2024-06-01","4","17","D"
"44","2024-11-01","2025-06-01","4","17","D"
"45","2023-11-01","2024-06-01","4","10","F"
"45","2024-11-01","2025-06-01","4","81","F"
"46","2023-11-01","2024-06-01","4","3","D"
"46","2024-11-01","2025-06-01","1","3","D"
"47","2023-11-01","2024-06-01","4","28","D"
"47","2024-11-01","2025-06-01","4","28","D"
"48","2023-11-01","2024-06-01","5","30","G"
"48","2024-11-01","2025-06-01","3","30","G"
"49","2023-11-01","2024-06-01","5","88","F"
"49","2024-11-01","2025-06-01","1","88","F"
"50","2023-11-01","2024-06-01","5","21","D"
"50","2024-11-01","2025-06-01","5","21","D"
"51","2023-11-01","2024-06-01","3","44","D"
"51","2024-11-01","2025-06-01","3","44","D"
"52","2023-11-01","2024-06-01","5","3","D"
"52","2024-11-01","2025-06-01","5","3","D"
"53","2023-11-01","2024-06-01","5","26","F"
"53","2024-11-01","2025-06-01","5","26","F"
"54","2023-11-01","2024-06-01","5","25","F"
"55","2023-11-01","2024-06-01","5","10","F"
"56","2023-11-01","2024-06-01","5","15","D"
"56","2024-11-01","2025-06-01","6","15","D"
"57","2023-11-01","2024-06-01","5","17","F"
"57","2024-11-01","2025-06-01","5","17","F"
"58","2023-11-01","2024-06-01","5","19","F"
"58","2024-11-01","2025-06-01","5","19","F"
"59","2023-11-01","2024-06-01","5","38","G"
"59","2024-11-01","2025-06-01","5","38","G"
