"shooter_id","goalie_id","game_id","is_goal","is_gamewinninggoal","shootout_attempt","id"
"1","59","65","1","0","2","1"
"1","59","69","1","0","1","2"
"1","59","69","0","0","2","3"
"1","28","173","1","0","1","4"
"1","228","179","0","0","1","5"
"1","222","237","1","0","7","6"
"1","222","237","0","0","8","7"
"1","238","251","1","0","2","8"
"1","238","251","0","0","5","9"
"1","155","259","0","0","1","10"
"1","155","259","1","1","5","11"
"1","228","269","0","0","1","12"
"1","228","269","0","0","4","13"
"8","85","163","0","0","4","16"
"11","155","130","0","0","4","17"
"13","59","65","1","1","3","18"
"13","59","69","0","0","3","19"
"13","59","69","0","0","5","20"
"13","155","139","1","0","2","21"
"13","155","139","0","0","4","22"
"13","85","163","0","0","2","23"
"13","85","163","1","0","5","24"
"13","28","173","0","0","2","25"
"13","228","179","0","0","3","26"
"13","6","259","0","0","4","27"
"15","59","65","0","0","1","28"
"15","155","139","1","1","1","29"
"15","85","163","1","0","3","30"
"15","228","179","0","0","4","31"
"15","222","237","0","0","1","32"
"15","238","251","0","0","3","33"
"15","228","269","1","0","7","34"
"15","228","269","1","1","8","35"
"16","59","65","0","0","4","38"
"16","59","69","0","0","4","39"
"16","238","251","1","0","4","40"
"16","155","259","0","0","2","41"
"16","228","269","0","0","6","42"
"18","222","237","0","0","5","43"
"21","48","44","1","0","5","44"
"21","85","55","1","1","4","45"
"21","48","75","0","0","1","46"
"21","228","117","1","1","4","47"
"21","155","130","0","0","3","48"
"21","155","130","1","0","5","49"
"21","155","130","0","0","7","50"
"21","211","136","0","0","3","51"
"21","28","156","0","0","4","52"
"23","48","44","0","0","2","53"
"23","48","75","1","0","4","54"
"25","48","44","1","1","4","55"
"25","85","55","1","0","3","56"
"25","85","55","1","0","5","57"
"25","48","75","1","0","3","58"
"25","228","117","1","0","2","59"
"25","28","156","0","0","3","60"
"26","155","245","0","0","4","61"
"31","64","17","0","0","1","62"
"31","64","17","0","0","2","63"
"31","64","17","1","0","4","64"
"31","64","17","0","0","5","65"
"31","41","35","0","0","1","66"
"31","41","35","0","0","3","67"
"31","41","76","1","0","2","68"
"31","59","106","0","0","1","69"
"31","59","106","1","1","5","70"
"31","64","138","0","0","2","71"
"31","64","138","1","1","5","72"
"31","123","156","1","1","1","73"
"31","123","156","0","0","4","74"
"31","19","163","0","0","2","75"
"31","19","163","1","0","5","76"
"31","19","163","0","0","6","77"
"31","6","173","1","0","1","78"
"31","211","227","1","1","1","79"
"31","211","227","0","0","3","80"
"32","64","17","0","0","6","84"
"32","41","35","0","0","4","85"
"32","22","55","0","0","2","86"
"32","41","76","1","0","4","87"
"32","59","106","0","0","3","88"
"32","64","138","1","0","1","89"
"32","123","156","0","0","2","90"
"32","19","163","0","0","4","91"
"32","6","173","0","0","4","92"
"32","211","227","0","0","4","93"
"33","59","79","1","1","5","94"
"34","28","35","0","0","2","95"
"34","28","35","1","0","4","96"
"34","64","36","0","0","2","97"
"34","85","76","1","0","2","98"
"34","59","79","0","0","4","99"
"34","22","117","1","0","3","100"
"34","123","130","1","0","2","101"
"34","123","130","0","0","6","102"
"34","6","179","0","0","2","103"
"34","134","189","0","0","2","104"
"34","134","189","0","0","4","105"
"34","211","245","0","0","4","106"
"34","6","259","0","0","3","107"
"35","85","76","0","0","5","108"
"36","123","130","1","0","4","109"
"36","123","130","1","1","7","110"
"36","6","139","0","0","3","111"
"36","6","179","0","0","4","112"
"36","134","189","0","0","1","113"
"37","28","35","0","0","1","114"
"37","64","36","0","0","1","115"
"37","85","76","1","0","1","116"
"37","59","79","1","0","1","117"
"37","22","117","0","0","4","118"
"39","59","79","0","0","2","119"
"42","28","35","1","1","3","120"
"42","64","36","0","0","3","121"
"42","85","76","0","0","4","122"
"42","59","79","0","0","3","123"
"42","22","117","0","0","5","124"
"42","6","139","0","0","4","125"
"42","6","179","0","0","5","126"
"42","211","227","0","0","2","127"
"42","211","227","0","0","5","128"
