"penalty_id","taken_by_id","served_by_id","team_id","game_id","description","period","time","length","is_powerplay","is_bench"
"1","106","106","1","74","Hooking","1","00:05:58","2","1","0"
"2","132","132","6","74","Tripping","2","00:04:16","2","1","0"
"3","106","106","1","74","Slashing","2","00:08:38","2","1","0"
"4","4","4","1","74","Boarding","2","00:09:08","2","1","0"
"5","73","73","6","74","Tripping","2","00:11:39","2","1","0"
"6","73","73","6","74","Tripping","2","00:16:02","2","1","0"
"7","68","68","6","74","Slashing","3","00:01:06","2","1","0"
"8","75","75","6","74","Delay of Game","3","00:02:44","2","1","0"
"9","14","14","1","74","Hooking","3","00:11:02","2","1","0"
"11","138","138","5","75","Hooking","1","00:00:41","2","1","0"
"12","55","55","5","75","Tripping","1","00:04:22","2","1","0"
"13","138","138","5","75","Tripping","1","00:09:55","2","1","0"
"14","23","23","2","75","Boarding","1","00:16:14","2","0","0"
"15","60","60","5","75","Slashing","2","00:14:44","2","0","0"
"16","24","24","2","75","Interference","3","00:18:58","2","0","0"
"17","30","30","3","76","Ob-Tripping","1","00:01:34","2","1","0"
"18","99","99","3","76","Slashing","1","00:06:40","2","1","0"
"19","82","82","3","76","High Sticking","2","00:00:51","2","1","0"
"20","161","161","3","76","Boarding","3","00:16:44","2","1","0"
"21","104","104","2","77","Body Checking","1","00:08:29","2","1","0"
"22","69","69","6","77","Slashing","1","00:16:44","2","1","0"
"23","114","114","2","77","Too Many Players","2","00:03:24","2","1","0"
"24","71","71","6","77","Interference","2","00:05:07","2","1","0"
"25","76","76","6","77","Interference","2","00:17:11","2","1","0"
"26","71","71","6","77","Slashing","2","00:17:11","2","1","0"
"27","130","130","6","77","Boarding","3","00:02:02","2","1","0"
"28","24","24","2","77","Tripping","3","00:06:32","2","1","0"
"29","75","75","6","77","Tripping","3","00:11:17","2","1","0"
"30","114","114","2","77","Hooking","4","00:03:14","2","1","0"
"31","3","3","1","78","Hooking","1","00:04:45","2","1","0"
"32","13","13","1","78","Tripping","2","00:05:16","2","1","0"
"33","82","82","3","78","Hooking","2","00:11:49","2","1","0"
"34","108","108","1","78","Roughing","2","00:11:49","2","1","0"
"35","158","158","3","78","Boarding","2","00:19:45","2","1","0"
"36","9","9","1","78","Hooking","3","00:09:48","2","1","0"
"37","3","3","1","78","Slashing","3","00:13:02","2","1","0"
"38","17","17","1","78","Roughing","3","00:14:40","2","1","0"
"39","5","5","1","78","Slashing","4","00:00:34","2","1","0"
"40","88","88","5","79","Hooking","1","00:05:50","2","1","0"
"41","149","149","4","79","Tripping","1","00:18:15","2","1","0"
"42","147","147","4","79","Kneeing","1","00:14:31","2","1","0"
"43","137","137","5","79","Tripping","2","00:02:51","2","1","0"
"44","149","149","4","79","Tripping","2","00:04:59","2","1","0"
"45","63","63","5","79","Body Checking","2","00:08:49","2","1","0"
"46","140","140","5","79","Slashing","3","00:15:10","2","1","0"
"47","150","150","4","79","Tripping","3","00:17:57","2","1","0"
"48","30","30","3","80","Delay of Game","1","00:11:48","2","0","0"
"49","80","80","3","80","Hooking","1","00:03:15","2","0","0"
"50","24","24","2","80","Interference","1","00:02:31","2","1","0"
"51","164","164","3","80","Interference","2","00:08:28","2","0","0"
"52","79","79","2","80","Tripping","2","00:12:12","2","0","0"
"53","23","23","2","80","Tripping","2","00:13:47","2","0","0"
"54","116","116","2","80","Hooking","3","00:06:43","2","0","0"
"55","153","153","4","81","Slashing","1","00:01:43","2","1","0"
"56","66","66","6","81","Delay of Game","2","00:02:58","2","1","0"
"57","149","149","4","81","Tripping","2","00:10:30","2","1","0"
"58","45","45","4","81","Hooking","2","00:17:28","2","1","0"
"59","71","71","6","81","Tripping","2","00:17:41","2","1","0"
"60","71","71","6","81","Holding","3","00:00:09","2","1","0"
"61","131","131","6","81","Tripping","3","00:05:58","2","1","0"
"62","35","35","4","81","Hooking","3","00:06:31","2","1","0"
"63","140","140","5","82","Kneeing","1","00:12:49","2","1","0"
"64","2","2","1","82","Tripping","1","00:14:40","2","1","0"
"65","145","137","5","82","Interference","1","00:19:45","2","1","0"
"66","16","16","1","82","Hooking","2","00:04:07","2","1","0"
"67","136","136","5","82","Holding","2","00:04:07","2","1","0"
"68","13","13","1","82","Tripping","2","00:07:54","2","1","0"
"69","8","8","1","82","Too Many Players","2","00:09:24","2","1","0"
"70","61","61","5","82","Holding","2","00:14:38","2","1","0"
"71","61","61","5","82","Interference","3","00:07:58","2","1","0"
"72","18","18","1","82","Tripping","4","00:02:20","2","1","0"
"73","72","72","6","2","Slashing","1","00:13:23","2","1","0"
"74","37","37","4","2","Hooking","1","00:15:21","2","1","0"
"75","36","36","4","2","Hooking","1","00:19:59","2","1","0"
"76","101","101","6","2","Interference","3","00:08:49","2","1","0"
"77","36","36","4","2","Hooking","3","00:11:54","2","1","0"
"78","149","149","4","2","Hooking","3","00:12:39","2","1","0"
"79","31","31","3","3","Holding","1","00:03:22","2","1","0"
"80","161","161","3","3","Tripping","1","00:10:20","2","1","0"
"81","83","83","3","3","Roughing","1","00:08:37","2","1","0"
"82","159","159","3","3","Delay of Game","2","00:15:23","2","1","0"
"84","82","82","3","3","Tripping","2","00:07:28","2","1","0"
"85","161","161","3","3","Boarding","3","00:00:54","2","1","0"
"86","63","63","5","3","Too Many Players","3","00:12:10","2","1","0"
"87","58","58","5","3","Tripping","2","00:07:50","2","1","0"
"88","24","24","2","4","Hooking","1","00:15:21","2","1","0"
"89","5","5","1","4","Delay of Game","2","00:02:17","2","1","0"
"90","97","97","2","4","Interference","3","00:04:38","2","1","0"
"91","24","24","2","4","Hooking","3","00:11:10","2","1","0"
"92","24","24","2","4","Tripping","3","00:17:01","2","1","0"
"93","40","40","4","5","Slashing","1","00:17:42","2","1","0"
"94","87","87","4","5","Cross Checking","1","00:18:58","2","1","0"
"95","37","37","4","5","Slashing","2","00:09:52","2","1","0"
