"shooter_id","goalie_id","game_id","is_goal","is_gamewinninggoal","shootout_attempt"
"1","59","65","1","0","2"
"1","59","69","1","0","1"
"1","59","69","0","0","2"
"1","28","173","1","0","1"
"1","228","179","0","0","1"
"1","222","237","1","0","7"
"1","222","237","0","0","8"
"1","238","251","1","0","2"
"1","238","251","0","0","5"
"1","155","259","0","0","1"
"1","155","259","1","1","5"
"1","228","269","0","0","1"
"1","228","269","0","0","4"
"8","85","163","0","0","4"
"11","155","130","0","0","4"
"13","59","65","1","1","3"
"13","59","69","0","0","3"
"13","59","69","0","0","5"
"13","155","139","1","0","2"
"13","155","139","0","0","4"
"13","85","163","0","0","2"
"13","85","163","1","0","5"
"13","28","173","0","0","2"
"13","228","179","0","0","3"
"13","6","259","0","0","4"
"15","59","65","0","0","1"
"15","155","139","1","1","1"
"15","85","163","1","0","3"
"15","228","179","0","0","4"
"15","222","237","0","0","1"
"15","238","251","0","0","3"
"15","228","269","1","0","7"
"15","228","269","1","1","8"
"16","59","65","0","0","4"
"16","59","69","0","0","4"
"16","238","251","1","0","4"
"16","155","259","0","0","2"
"16","228","269","0","0","6"
"18","222","237","0","0","5"
"21","48","44","1","0","5"
"21","85","55","1","1","4"
"21","48","75","0","0","1"
"21","228","117","1","1","4"
"21","155","130","0","0","3"
"21","155","130","1","0","5"
"21","155","130","0","0","7"
"21","211","136","0","0","3"
"21","28","156","0","0","4"
"23","48","44","0","0","2"
"23","48","75","1","0","4"
"25","48","44","1","1","4"
"25","85","55","1","0","3"
"25","85","55","1","0","5"
"25","48","75","1","0","3"
"25","228","117","1","0","2"
"25","28","156","0","0","3"
"26","155","245","0","0","4"
"31","64","17","0","0","1"
"31","64","17","0","0","2"
"31","64","17","1","0","4"
"31","64","17","0","0","5"
"31","41","35","0","0","1"
"31","41","35","0","0","3"
"31","41","76","1","0","2"
"31","59","106","0","0","1"
"31","59","106","1","1","5"
"31","64","138","0","0","2"
"31","64","138","1","1","5"
"31","123","156","1","1","1"
"31","123","156","0","0","4"
"31","19","163","0","0","2"
"31","19","163","1","0","5"
"31","19","163","0","0","6"
"31","6","173","1","0","1"
"31","211","227","1","1","1"
"31","211","227","0","0","3"
"32","64","17","0","0","6"
"32","41","35","0","0","4"
"32","22","55","0","0","2"
"32","41","76","1","0","4"
"32","59","106","0","0","3"
"32","64","138","1","0","1"
"32","123","156","0","0","2"
"32","19","163","0","0","4"
"32","6","173","0","0","4"
"32","211","227","0","0","4"
"33","59","79","1","1","5"
"34","28","35","0","0","2"
"34","28","35","1","0","4"
"34","64","36","0","0","2"
"34","85","76","1","0","2"
"34","59","79","0","0","4"
"34","22","117","1","0","3"
"34","123","130","1","0","2"
"34","123","130","0","0","6"
"34","6","179","0","0","2"
"34","134","189","0","0","2"
"34","134","189","0","0","4"
"34","211","245","0","0","4"
"34","6","259","0","0","3"
"35","85","76","0","0","5"
"36","123","130","1","0","4"
"36","123","130","1","1","7"
"36","6","139","0","0","3"
"36","6","179","0","0","4"
"36","134","189","0","0","1"
"37","28","35","0","0","1"
"37","64","36","0","0","1"
"37","85","76","1","0","1"
"37","59","79","1","0","1"
"37","22","117","0","0","4"
"39","59","79","0","0","2"
"42","28","35","1","1","3"
"42","64","36","0","0","3"
"42","85","76","0","0","4"
"42","59","79","0","0","3"
"42","22","117","0","0","5"
"42","6","139","0","0","4"
"42","6","179","0","0","5"
"42","211","227","0","0","2"
"42","211","227","0","0","5"
"44","123","130","0","0","5"
"53","123","44","0","0","4"
"53","122","75","0","0","1"
"56","6","65","0","0","3"
"57","155","79","1","0","4"
"58","123","44","0","0","3"
"58","6","65","0","0","4"
"58","6","69","0","0","4"
"58","122","75","0","0","5"
"58","155","79","0","0","2"
